Part,Value,Device,Package,Description,AVAILABILITY,BOM,DESCRIPTION,MF,MP,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,PRICE,PROD_ID,VALUE
J5,105017-0001,105017-0001,MOLEX_105017-0001,,Good,,Conn USB Type B M 5 POS 0.65mm Solder RA Thru-Hole 5 Terminal 1 Port Embossed T/R,Molex,105017-0001,,,,None,0.52 USD,,
C4,10uF,10UF-16V-10%(TANT),EIA3216,CAP-00811,,,,,,,,,,,CAP-00811,10uF
X20,AK550/2,AK550/2,AK550/2,CONNECTOR,,,,,,,unknown,unknown,,,,
D39,APTF1616SEEZGQBDC,APTF1616SEEZGQBDC,0606(1616),Red/Green/Blue 0404 120° Water Clear 30/40/20 mcd PCB Surface Mount LED,Good,,Red/Green/Blue 0404 120%C2%B0 Water Clear 30/40/20 mcd PCB Surface Mount LED,Lumex,SML-LX0404SIUPGUSB,,,,0404 Lumex,0.57 USD,,
S2,B3U-1000P,B3U-1000P,SW_B3U-1000P,Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 1.5N SMD Embossed T/R,Good,,Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 1.5N SMD Embossed T/R,Omron,B3U-1000P,,,,None,0.72 USD,,
D14,BAT60J,BAT60J,SOD323_ST,Schottky barrier diode,,,,,,,,,,,,
B1,,BATTERYCR1220_SMT,CR1220,CR1220 SMT - Digikey: 3001K-ND,,,,,,,,,,,,
C1,0.1uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C6,0.1uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C39,0.1UF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C40,0.1uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C41,0.1uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C42,0.1uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C44,0.1uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C45,0.1uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C47,0.1uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C53,0.1uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C56,0.1uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C57,0.1uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C17,100nf,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C3,10nF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C34,10pF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C36,10pF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C43,1uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C46,1uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C54,1uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C55,1uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C32,27pF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C33,27pF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C38,4.7uF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C2,47pF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C5,47pF,C_0603,C0603,NON-POLARIZED CAP,,,,,,,,,,,,
C51,4.7uF,C-USC1206,C1206,"CAPACITOR, American symbol",,,,,,,,,,,,
J2,,CONN_06SILK_FEMALE_PTH,1X06,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,CONN-08437,
J1,,CONN_09,1X09,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,,
X5,,CRYSTAL-4PIN,ABRACON-ABS25-32.768KHZ,,,,,,,,,,,,,
Y1,,CRYSTALSMD,HC49UP,Various standard crystals. Proven footprints.,,,,,,,,,,,,
J4,DM3AT-SF-PEJM5,DM3AT-SF-PEJM5,HRS_DM3AT-SF-PEJM5,DM3 Series 8 Position Right Angle SMT Push Push Ejection MicroSD Card Connector,Good,,DM3 Series 8 Position Right Angle SMT Push Push Ejection MicroSD Card Connector,Hirose,DM3AT-SF-PEJM5,,,,None,1.95 USD,,
L1,FB_0603,FB_0603,L0603,FERRITE BEAD,,,,,,,,,,,,
U1,FT232RQ,FT232RQ,LQFP32,USB UART,Good,,USB-to-UART 1-CH 256Byte FIFO 5V 32-Pin QFN EP,FTDI,FT232RQ,,,,None,6.56 USD,,
U$4,IRLML2502,IRLML2502,SOT23,,Unavailable,,,International Rectifier,IRLML2502,,,,SOT-23-3 International Rectifier,0.17 USD,,
